City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
445,Carolina,PR,76.95,few clouds,18.3808,-65.9574,Motel Fantasy Star
446,Unguia,CO,82.42,broken clouds,8.0434,-77.0945,Residencias El Golfo
449,Japura,ID,72.66,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
452,Lindi,TZ,73.45,light rain,-10.0,39.7167,Lindi paradise house
453,Guapimirim,BR,73.11,overcast clouds,-22.5372,-42.9819,Hostel Guapi
454,Matola,MZ,77.52,scattered clouds,-25.9622,32.4589,Guesthouse Yuba
458,Santa Rita,BR,83.07,few clouds,-7.1139,-34.9781,Infinity Motel
459,Sibolga,ID,74.88,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
464,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
469,Oeiras Do Para,BR,74.5,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
471,Sao Raimundo Nonato,BR,71.58,broken clouds,-9.0153,-42.6994,Real Hotel
472,Sabang,ID,81.66,overcast clouds,5.8933,95.3214,Hotel Citra
473,Farafangana,MG,75.18,light rain,-22.8167,47.8333,Miarina
475,Luis Correia,BR,82.4,broken clouds,-2.8792,-41.6669,Hotel Amarração
480,Kananga,CD,70.3,overcast clouds,-5.8958,22.4178,Guest House Wood Land
481,Grand Gaube,MU,75.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
485,Bandarbeyla,SO,74.68,broken clouds,9.4942,50.8122,JABIR HOTEL
488,Sao Miguel Do Araguaia,BR,70.93,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
492,Fuerte Olimpo,PY,86.45,few clouds,-21.0415,-57.8738,Hospedaje DAMI
495,Puerto Escondido,MX,80.44,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
499,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
510,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
511,Inongo,CD,76.08,overcast clouds,-1.95,18.2667,Hotel Du Lac
513,Goya,AR,79.95,light rain,-29.14,-59.2626,Apart Costanera Goya
514,Lafia,NG,77.74,few clouds,8.4833,8.5167,Low Cost Housing Estate
516,Nicoya,CR,83.75,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
519,Kavaratti,IN,79.9,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
523,Porto Murtinho,BR,89.49,scattered clouds,-21.6989,-57.8825,Hotel Pantanal
531,Male,MV,80.55,broken clouds,4.1748,73.5089,Hotel Octave Maldives
535,Maceio,BR,80.04,clear sky,-9.6658,-35.7353,Poutur Pousada
537,Moa,CU,76.5,scattered clouds,20.6569,-74.9403,Carmen
553,Gambela,ET,85.42,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
554,Dakar,SN,81.48,clear sky,14.6937,-17.4441,Redface Studios Meublés
558,Chorozinho,BR,80.28,scattered clouds,-4.3003,-38.4978,Pousada Triângulo E Churrascaria
561,Ovalle,CL,74.48,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
564,Rosario Oeste,BR,74.52,overcast clouds,-14.8361,-56.4275,Alvorada Palace accomodation
565,Mitsamiouli,KM,79.68,overcast clouds,-11.3847,43.2844,Foyer ADM
566,Mabopane,ZA,71.35,clear sky,-25.4977,28.1007,Wolf Residence
568,Bambari,CF,76.93,scattered clouds,5.768,20.6757,Hotel-Restaurant BIBICH
572,Quatre Cocos,MU,75.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
575,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
582,Salta,AR,70.39,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
