City_ID,City,Country,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed,Current Weather Description
79,Hualmay,PE,-11.0964,-77.6139,75.36,69,38,10.8,scattered clouds
80,Ergani,TR,38.2653,39.7621,31.55,60,24,6.04,few clouds
81,Bubaque,GW,11.2833,-15.8333,79.43,65,1,12.39,clear sky
82,Thompson,CA,55.7435,-97.8558,-2.51,76,17,8.61,few clouds
83,Taltal,CL,-25.4,-70.4833,70.83,70,24,7.25,few clouds
84,Alanya,TR,36.5438,31.9998,48.33,54,100,4.05,overcast clouds
85,Troitskoye,RU,52.9821,84.6757,-6.39,100,9,4.7,clear sky
86,Sao Filipe,CV,14.8961,-24.4956,78.35,46,77,20.02,broken clouds
87,Ancud,CL,-41.8697,-73.8203,81.23,63,77,5.79,broken clouds
88,Narsaq,GL,60.9167,-46.05,30.42,98,100,1.48,snow
89,Vardo,NO,70.3705,31.1107,25.84,69,13,13.73,few clouds
90,Zavetnoye,RU,47.1194,43.8903,39.74,97,100,17.0,moderate rain
91,Yar-Sale,RU,66.8333,70.8333,-8.34,92,100,14.83,overcast clouds
92,Sur,OM,22.5667,59.5289,69.35,63,0,10.4,clear sky
93,Nisia Floresta,BR,-6.0911,-35.2086,86.81,67,27,9.08,scattered clouds
94,Taybad,IR,34.74,60.7756,40.28,79,100,15.12,overcast clouds
95,General Pico,AR,-35.6566,-63.7568,72.45,29,0,7.92,clear sky
96,Mecca,SA,21.4267,39.8261,74.43,37,0,1.48,clear sky
97,Meulaboh,ID,4.1363,96.1285,77.63,84,96,3.91,overcast clouds
98,Along,IN,28.1667,94.7667,45.77,81,4,2.75,clear sky
99,Loharu,IN,28.45,75.8167,57.29,34,0,5.66,clear sky
100,Naples,IT,40.8333,14.25,53.58,73,0,9.22,clear sky
101,Sokolka,PL,53.4072,23.5023,28.65,65,100,10.76,overcast clouds
102,Mandera,KE,3.9366,41.867,82.2,22,93,9.15,overcast clouds
103,Mariana,BR,-20.3778,-43.4161,69.78,94,99,2.89,overcast clouds
104,Soanierana Ivongo,MG,-16.9167,49.5833,74.86,91,26,5.5,moderate rain
105,Maniitsoq,GL,65.4167,-52.9,11.95,76,100,12.8,overcast clouds
106,Mzimba,MW,-11.9,33.6,61.23,96,100,1.28,overcast clouds
107,Upernavik,GL,72.7868,-56.1549,-3.24,97,100,11.63,overcast clouds
108,Sholokhove,UA,47.6945,34.0312,33.96,79,52,13.18,broken clouds
109,Ati,TD,13.2154,18.3353,76.06,12,11,10.13,few clouds
110,Nanortalik,GL,60.1432,-45.2371,30.06,98,100,7.85,snow
111,Juru,MY,5.312,100.4423,82.35,65,20,6.91,few clouds
112,Port Blair,IN,11.6667,92.75,76.06,72,10,13.06,clear sky
113,Road Town,VG,18.4167,-64.6167,73.99,77,17,21.77,few clouds
114,Mbandaka,CD,0.0487,18.2603,81.7,49,71,4.47,broken clouds
115,Laguna,US,38.421,-121.4238,79.3,49,0,3.44,clear sky
116,Longyearbyen,SJ,78.2186,15.6401,8.44,72,0,6.91,clear sky
117,Alegrete,BR,-29.7831,-55.7919,89.19,41,35,16.96,scattered clouds
118,Conceicao Do Araguaia,BR,-8.2578,-49.2647,78.71,88,78,5.17,light rain
119,Victoria,HK,22.2855,114.1577,66.18,89,97,8.01,overcast clouds
120,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.6,69,21,13.11,few clouds
121,Abu Samrah,SY,35.3029,37.1841,48.72,72,0,6.02,clear sky
122,Itarema,BR,-2.9248,-39.9167,82.18,70,98,11.7,overcast clouds
123,Sayyan,YE,15.1718,44.3244,57.24,34,100,3.29,overcast clouds
